sex,age,siblings of the passenger	,parents / children aboard the Titanic	,fare,Port of Embarkation	,class,who,alone,survived
male,39,0,0,"7,18",S,First,man,TRUE,no
male,20,0,0,"4,0125",C,Third,man,TRUE,no
male,33,0,0,5,S,First,man,TRUE,no
male,61,0,0,"6,2375",S,Third,man,TRUE,no
male,"34,5",0,0,"6,4375",C,Third,man,TRUE,no
male,43,0,0,"6,45",S,Third,man,TRUE,no
male,34,0,0,"6,4958",S,Third,man,TRUE,no
male,18,1,0,"6,4958",S,Third,man,FALSE,no
male,19,0,0,"6,75",Q,Third,man,TRUE,no
female,18,0,0,"6,75",Q,Third,woman,TRUE,no
male,,0,0,"6,8583",Q,Third,man,TRUE,no
male,,0,0,"6,95",Q,Third,man,TRUE,no
male,45,0,0,"6,975",S,Third,man,TRUE,no
male,27,0,0,"6,975",S,Third,man,TRUE,yes
male,29,1,0,"7,0458",S,Third,man,FALSE,no
male,20,0,0,"7,05",S,Third,man,TRUE,no
male,24,0,0,"7,05",S,Third,man,TRUE,no
male,35,0,0,"7,05",S,Third,man,TRUE,no
male,38,0,0,"7,05",S,Third,man,TRUE,no
male,,0,0,"7,05",S,Third,man,TRUE,no
male,25,0,0,"7,05",S,Third,man,TRUE,no
male,25,0,0,"7,05",S,Third,man,TRUE,no
male,51,0,0,"7,0542",S,Third,man,TRUE,no
male,17,1,0,"7,0542",S,Third,man,FALSE,no
male,22,0,0,"7,125",S,Third,man,TRUE,no
male,17,0,0,"7,125",S,Third,man,TRUE,no
male,35,0,0,"7,125",S,Third,man,TRUE,no
male,41,0,0,"7,125",S,Third,man,TRUE,no
male,24,0,0,"7,1417",S,Third,man,TRUE,yes
female,,0,0,"7,225",C,Third,woman,TRUE,yes
male,,0,0,"7,225",C,Third,man,TRUE,no
male,"45,5",0,0,"7,225",C,Third,man,TRUE,no
male,30,0,0,"7,225",C,Third,man,TRUE,no
male,,0,0,"7,225",C,Third,man,TRUE,no
male,,0,0,"7,225",C,Third,man,TRUE,no
male,22,0,0,"7,225",C,Third,man,TRUE,yes
male,,0,0,"7,225",C,Third,man,TRUE,no
male,40,0,0,"7,225",C,Third,man,TRUE,no
male,25,0,0,"7,225",C,Third,man,TRUE,no
male,,0,0,"7,225",C,Third,man,TRUE,no
female,15,0,0,"7,225",C,Third,child,TRUE,yes
male,,0,0,"7,2292",C,Third,man,TRUE,yes
male,"28,5",0,0,"7,2292",C,Third,man,TRUE,no
male,22,0,0,"7,2292",C,Third,man,TRUE,no
male,"23,5",0,0,"7,2292",C,Third,man,TRUE,no
male,15,1,1,"7,2292",C,Third,child,FALSE,no
female,,0,0,"7,2292",C,Third,woman,TRUE,yes
male,,0,0,"7,2292",C,Third,man,TRUE,no
male,,0,0,"7,2292",C,Third,man,TRUE,no
male,17,1,1,"7,2292",C,Third,man,FALSE,no
male,,0,0,"7,2292",C,Third,man,TRUE,no
male,20,0,0,"7,2292",C,Third,man,TRUE,yes
female,13,0,0,"7,2292",C,Third,child,TRUE,yes
male,30,0,0,"7,2292",C,Third,man,TRUE,no
male,,0,0,"7,2292",C,Third,man,TRUE,no
male,,0,0,"7,2292",C,Third,man,TRUE,no
male,22,1,0,"7,25",S,Third,man,FALSE,no
male,59,0,0,"7,25",S,Third,man,TRUE,no
male,22,0,0,"7,25",S,Third,man,TRUE,no
male,"20,5",0,0,"7,25",S,Third,man,TRUE,no
male,,0,0,"7,25",S,Third,man,TRUE,no
male,22,0,0,"7,25",S,Third,man,TRUE,no
male,30,0,0,"7,25",S,Third,man,TRUE,no
female,22,0,0,"7,25",S,Third,woman,TRUE,yes
male,,0,0,"7,25",S,Third,man,TRUE,no
male,,0,0,"7,25",S,Third,man,TRUE,no
male,21,0,0,"7,25",S,Third,man,TRUE,no
male,47,0,0,"7,25",S,Third,man,TRUE,no
male,25,0,0,"7,25",S,Third,man,TRUE,no
male,,0,0,"7,3125",S,Third,man,TRUE,no
male,19,0,0,"7,44",S,Third,man,TRUE,no
male,24,0,0,"7,4958",S,Third,man,TRUE,no
male,36,0,0,"7,4958",S,Third,man,TRUE,no
female,18,0,0,"7,4958",S,Third,woman,TRUE,yes
male,22,0,0,"7,5208",S,Third,man,TRUE,no
female,,0,0,"7,55",S,Third,woman,TRUE,no
male,,0,0,"7,55",S,Third,man,TRUE,no
female,23,0,0,"7,55",S,Third,woman,TRUE,yes
male,42,0,0,"7,55",S,Third,man,TRUE,no
female,,0,0,"7,6292",Q,Third,woman,TRUE,no
male,25,0,0,"7,65",S,Third,man,TRUE,no
female,21,0,0,"7,65",S,Third,woman,TRUE,yes
male,42,0,0,"7,65",S,Third,man,TRUE,no
male,19,0,0,"7,65",S,Third,man,TRUE,no
male,,0,0,"7,725",Q,Third,man,TRUE,no
male,,0,0,"7,7292",Q,Third,man,TRUE,no
female,16,0,0,"7,7333",Q,Third,woman,TRUE,yes
male,21,0,0,"7,7333",Q,Third,man,TRUE,no
male,,0,0,"7,7333",Q,Third,man,TRUE,no
female,,0,0,"7,7333",Q,Third,woman,TRUE,yes
female,,0,0,"7,7375",Q,Third,woman,TRUE,yes
male,,0,0,"7,7375",Q,Third,man,TRUE,no
male,25,0,0,"7,7417",Q,Third,man,TRUE,no
female,,0,0,"7,75",Q,Third,woman,TRUE,yes
female,,0,0,"7,75",Q,Third,woman,TRUE,yes
male,"70,5",0,0,"7,75",Q,Third,man,TRUE,no
male,,0,0,"7,75",Q,Third,man,TRUE,no
female,22,0,0,"7,75",S,Third,woman,TRUE,yes
male,,0,0,"7,75",Q,Third,man,TRUE,no
female,,0,0,"7,75",Q,Third,woman,TRUE,yes
female,16,0,0,"7,75",Q,Third,woman,TRUE,yes
male,,1,0,"7,75",Q,Third,man,FALSE,no
male,,0,0,"7,75",Q,Third,man,TRUE,no
female,,0,0,"7,75",Q,Third,woman,TRUE,no
female,,0,0,"7,75",Q,Third,woman,TRUE,yes
female,45,0,0,"7,75",S,Third,woman,TRUE,no
male,65,0,0,"7,75",Q,Third,man,TRUE,no
female,22,0,0,"7,75",Q,Third,woman,TRUE,yes
female,,0,0,"7,75",Q,Third,woman,TRUE,yes
female,,0,0,"7,75",Q,Third,woman,TRUE,yes
male,51,0,0,"7,75",S,Third,man,TRUE,no
male,,0,0,"7,75",Q,Third,man,TRUE,no
male,,0,0,"7,75",Q,Third,man,TRUE,no
female,21,0,0,"7,75",Q,Third,woman,TRUE,no
male,29,0,0,"7,75",Q,Third,man,TRUE,yes
male,"40,5",0,0,"7,75",Q,Third,man,TRUE,no
male,,0,0,"7,75",Q,Third,man,TRUE,no
female,,0,0,"7,75",Q,Third,woman,TRUE,yes
female,,0,2,"7,75",Q,Third,woman,FALSE,no
male,,0,0,"7,75",Q,Third,man,TRUE,no
male,31,0,0,"7,75",Q,Third,man,TRUE,no
female,"30,5",0,0,"7,75",Q,Third,woman,TRUE,no
male,18,0,0,"7,75",S,Third,man,TRUE,no
male,,0,0,"7,75",Q,Third,man,TRUE,no
male,,0,0,"7,75",Q,Third,man,TRUE,no
male,,0,0,"7,75",Q,Third,man,TRUE,yes
male,32,0,0,"7,75",Q,Third,man,TRUE,no
male,,0,0,"7,775",S,Third,man,TRUE,yes
male,26,0,0,"7,775",S,Third,man,TRUE,no
male,29,0,0,"7,775",S,Third,man,TRUE,no
female,25,0,0,"7,775",S,Third,woman,TRUE,no
male,25,1,0,"7,775",S,Third,man,FALSE,yes
male,19,0,0,"7,775",S,Third,man,TRUE,no
male,21,0,0,"7,775",S,Third,man,TRUE,no
male,25,1,0,"7,775",S,Third,man,FALSE,no
female,22,0,0,"7,775",S,Third,woman,TRUE,yes
male,,0,0,"7,775",S,Third,man,TRUE,no
male,18,0,0,"7,775",S,Third,man,TRUE,no
male,33,0,0,"7,775",S,Third,man,TRUE,no
male,16,0,0,"7,775",S,Third,man,TRUE,no
male,31,0,0,"7,775",S,Third,man,TRUE,no
female,18,0,0,"7,775",S,Third,woman,TRUE,no
male,74,0,0,"7,775",S,Third,man,TRUE,no
male,36,0,0,"7,78",S,Third,man,TRUE,no
female,,0,0,"7,7875",Q,Third,woman,TRUE,yes
male,27,0,0,"7,7958",S,Third,man,TRUE,yes
male,21,0,0,"7,7958",S,Third,man,TRUE,yes
male,22,0,0,"7,7958",S,Third,man,TRUE,no
male,24,0,0,"7,7958",S,Third,man,TRUE,no
male,18,0,0,"7,7958",S,Third,man,TRUE,no
male,28,0,0,"7,7958",S,Third,man,TRUE,no
male,21,0,0,"7,8",S,Third,man,TRUE,no
male,,0,0,"7,8292",Q,Third,man,TRUE,no
female,,0,0,"7,8292",Q,Third,woman,TRUE,yes
female,14,0,0,"7,8542",S,Third,child,TRUE,no
male,20,0,0,"7,8542",S,Third,man,TRUE,no
male,18,1,1,"7,8542",S,Third,man,FALSE,no
female,19,1,0,"7,8542",S,Third,woman,FALSE,yes
male,28,0,0,"7,8542",S,Third,man,TRUE,no
female,26,0,0,"7,8542",S,Third,woman,TRUE,yes
female,31,0,0,"7,8542",S,Third,woman,TRUE,no
male,32,0,0,"7,8542",S,Third,man,TRUE,yes
male,21,0,0,"7,8542",S,Third,man,TRUE,no
male,20,0,0,"7,8542",S,Third,man,TRUE,no
male,26,1,0,"7,8542",S,Third,man,FALSE,no
male,48,0,0,"7,8542",S,Third,man,TRUE,no
male,23,0,0,"7,8542",S,Third,man,TRUE,no
male,29,0,0,"7,875",S,Third,man,TRUE,no
female,,0,0,"7,8792",Q,Third,woman,TRUE,yes
female,19,0,0,"7,8792",Q,Third,woman,TRUE,yes
female,,0,0,"7,8792",Q,Third,woman,TRUE,yes
female,,0,0,"7,8792",Q,Third,woman,TRUE,yes
male,26,0,0,"7,8875",S,Third,man,TRUE,no
male,,0,0,"7,8958",S,Third,man,TRUE,no
male,,0,0,"7,8958",C,Third,man,TRUE,no
male,,0,0,"7,8958",S,Third,man,TRUE,no
female,28,0,0,"7,8958",S,Third,woman,TRUE,no
male,,0,0,"7,8958",S,Third,man,TRUE,no
male,28,0,0,"7,8958",S,Third,man,TRUE,no
male,38,0,0,"7,8958",S,Third,man,TRUE,no
male,33,0,0,"7,8958",C,Third,man,TRUE,no
male,36,0,0,"7,8958",S,Third,man,TRUE,no
male,,0,0,"7,8958",S,Third,man,TRUE,no
male,22,0,0,"7,8958",S,Third,man,TRUE,no
male,24,0,0,"7,8958",S,Third,man,TRUE,no
male,28,0,0,"7,8958",S,Third,man,TRUE,no
male,27,0,0,"7,8958",S,Third,man,TRUE,no
male,,0,0,"7,8958",S,Third,man,TRUE,no
male,,0,0,"7,8958",S,Third,man,TRUE,no
male,,0,0,"7,8958",S,Third,man,TRUE,no
male,,0,0,"7,8958",C,Third,man,TRUE,no
male,29,0,0,"7,8958",C,Third,man,TRUE,yes
male,32,0,0,"7,8958",S,Third,man,TRUE,no
male,22,0,0,"7,8958",S,Third,man,TRUE,no
male,40,0,0,"7,8958",S,Third,man,TRUE,no
male,19,0,0,"7,8958",S,Third,man,TRUE,no
male,,0,0,"7,8958",S,Third,man,TRUE,no
male,30,0,0,"7,8958",S,Third,man,TRUE,no
male,26,0,0,"7,8958",S,Third,man,TRUE,no
male,19,0,0,"7,8958",S,Third,man,TRUE,no
male,,0,0,"7,8958",S,Third,man,TRUE,no
male,,0,0,"7,8958",S,Third,man,TRUE,no
male,,0,0,"7,8958",S,Third,man,TRUE,no
male,,0,0,"7,8958",S,Third,man,TRUE,no
male,23,0,0,"7,8958",S,Third,man,TRUE,no
male,25,0,0,"7,8958",S,Third,man,TRUE,no
male,35,0,0,"7,8958",C,Third,man,TRUE,no
male,26,0,0,"7,8958",S,Third,man,TRUE,no
male,19,0,0,"7,8958",S,Third,man,TRUE,no
male,,0,0,"7,8958",S,Third,man,TRUE,no
male,33,0,0,"7,8958",S,Third,man,TRUE,no
female,26,0,0,"7,925",S,Third,woman,TRUE,yes
female,17,4,2,"7,925",S,Third,woman,FALSE,yes
male,37,2,0,"7,925",S,Third,man,FALSE,no
